[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 20:03:23 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/register"
[GIN] 2022/10/25 - 20:21:53 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:53 | 200 |      1.1136ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:58 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:58 | 200 |      1.1527ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:21:59 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:21:59 | 200 |      1.1278ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:05 | 200 |      1.5731ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:05 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:05 | 200 |      2.3175ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:08 | 200 |      1.5468ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:08 | 200 |       1.155ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:37 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:37 | 200 |      1.2468ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:37 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:37 | 200 |      1.3779ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:50 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 20:22:50 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 20:22:51 | 200 |     50.3931ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 20:22:51 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:51 | 200 |      1.1494ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:22:51 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:51 | 200 |      1.2754ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:22:52 | 204 |       995.1µs |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:22:52 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:23:17 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:17 | 200 |       645.2µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:18 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:23:18 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:23:39 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:39 | 200 |      2.0565ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:44 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:44 | 200 |      1.6016ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:48 | 200 |       1.121ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:55 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:55 | 200 |      1.4985ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:23:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:23:55 | 200 |      1.2221ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:23:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 20:23:55 | 200 |      1.4095ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 20:23:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 20:23:55 | 200 |      1.1549ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 20:23:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 20:23:55 | 200 |      1.8128ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 20:23:57 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:23:57 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:24:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:24:00 | 200 |      1.8707ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:24:02 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:27:56 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:27:56 | 200 |      1.3937ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:29:54 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:29:54 | 404 |            0s |             ::1 | GET      "/vue-element-admin/article/list?page=1&limit=20&sort=%2Bid"
[GIN] 2022/10/25 - 20:30:19 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:30:19 | 200 |      1.5033ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:35:35 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:35:35 | 200 |      1.4593ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:36:04 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:36:04 | 200 |      1.5708ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:36:04 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:36:04 | 200 |      1.4148ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:36:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:36:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:36:07 | 200 |      1.1971ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:36:07 | 200 |      2.1785ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:36:10 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:36:10 | 200 |      1.2167ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:36:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:36:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:36:14 | 200 |      1.0009ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:36:14 | 200 |      2.1864ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:36:42 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:36:42 | 200 |      1.1566ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:44:01 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:44:01 | 200 |      1.6479ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:44:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 20:44:01 | 200 |       1.146ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 20:45:51 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:45:51 | 404 |            0s |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:45:54 | 404 |            0s |             ::1 | GET      "/api/book/all/nondto"
