[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] GET    /api/book/all/nondto      --> github.com/Wh0rigin/GraduationProject/controller.AllBookNonDto (5 handlers)
[GIN-debug] GET    /api/book/number/all      --> github.com/Wh0rigin/GraduationProject/controller.GetAllBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/rent     --> github.com/Wh0rigin/GraduationProject/controller.GetRentBookNumber (5 handlers)
[GIN-debug] GET    /api/book/number/available --> github.com/Wh0rigin/GraduationProject/controller.GetAvailableBookNumber (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] POST   /api/manager/logout       --> github.com/Wh0rigin/GraduationProject/controller.LogoutController (4 handlers)
[GIN-debug] GET    /api/manager/all/user     --> github.com/Wh0rigin/GraduationProject/controller.GetAllUser (5 handlers)
[GIN-debug] POST   /api/manager/delete/user  --> github.com/Wh0rigin/GraduationProject/controller.DeleteUser (5 handlers)
[GIN-debug] POST   /api/manager/update/user  --> github.com/Wh0rigin/GraduationProject/controller.UpdateUser (5 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/25 - 20:46:34 | 204 |       510.4µs |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:19 | 200 |      1.0491ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:54:21 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:21 | 200 |      1.9048ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:25 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 20:54:25 | 200 |      1.2241ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:54:26 | 200 |      1.2767ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:27 | 200 |      1.3547ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 20:54:33 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:33 | 200 |      1.1971ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:49 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:54:49 | 200 |       786.4µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:54:49 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:54:49 | 200 |      2.2208ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:55:38 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:55:38 | 200 |      1.1236ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:56:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:56:11 | 200 |      1.4192ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:56:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:56:11 | 200 |      1.2263ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:58:18 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 20:58:18 | 200 |      1.0792ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 20:58:18 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:58:18 | 200 |       2.447ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:59:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 20:59:56 | 200 |      1.4253ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:00:29 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:00:29 | 200 |      1.4142ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:00:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:00:29 | 200 |      1.2478ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:01:22 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:01:23 | 200 |      1.4395ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:01:23 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:01:23 | 200 |      1.1392ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:02:00 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:02:00 | 200 |      1.5182ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:02:00 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:02:00 | 200 |      1.1014ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:02:53 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:02:53 | 200 |      1.1518ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:03:49 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:03:49 | 200 |      1.5014ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:05:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:05 | 200 |      1.1092ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:29 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:29 | 200 |      1.2906ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 21:05:29 | 200 |      1.7731ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 21:05:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 21:05:29 | 200 |      2.2317ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 21:05:30 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 21:05:30 | 200 |      1.5011ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 21:05:30 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 21:05:30 | 200 |      2.0751ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 21:05:59 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:59 | 200 |      1.8081ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:05:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 21:05:59 | 200 |      2.0372ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 21:05:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 21:05:59 | 200 |      1.6436ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 21:05:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 21:05:59 | 200 |       860.4µs |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 21:05:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 21:05:59 | 200 |      1.8801ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 21:06:06 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 21:06:06 | 200 |      1.5469ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 21:06:54 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:06:54 | 200 |      1.6602ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:07:17 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:07:17 | 200 |      2.0769ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:07:17 | 204 |       999.6µs |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 21:07:17 | 200 |      1.8569ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 21:07:17 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 21:07:17 | 200 |      1.2276ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 21:07:17 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 21:07:17 | 200 |      2.2798ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 21:07:17 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 21:07:17 | 200 |      2.5499ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 21:08:50 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:08:50 | 200 |      1.3899ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:08:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 21:08:50 | 200 |      1.7335ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 21:08:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 21:08:50 | 200 |      1.9751ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 21:08:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 21:08:50 | 200 |      1.4843ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 21:08:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 21:08:50 | 200 |      2.1899ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 21:08:52 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:08:52 | 200 |      1.2357ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:12:17 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:12:17 | 200 |       2.059ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:13:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:13:59 | 200 |       1.319ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:14:00 | 200 |      1.1322ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:14:23 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:14:23 | 200 |      1.4011ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:14:23 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:14:23 | 200 |      1.1443ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:17:46 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:17:46 | 200 |      1.4289ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:17:47 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:17:47 | 200 |      2.4519ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:18:29 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 21:18:29 | 200 |      1.1342ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 21:18:29 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:18:29 | 200 |      1.1555ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:19:38 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:19:38 | 200 |       1.377ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:20:05 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:20:05 | 200 |      1.7577ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:20:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:20:48 | 200 |      1.1445ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:20:57 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:20:57 | 200 |      1.0293ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:21:01 | 200 |      1.2854ms |             ::1 | POST     "/api/book/create"
[GIN] 2022/10/25 - 21:22:22 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:22:22 | 200 |      2.4148ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:22:59 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:22:59 | 200 |      1.0485ms |             ::1 | GET      "/api/book/all/nondto"
[GIN] 2022/10/25 - 21:23:06 | 204 |            0s |             ::1 | OPTIONS  "/api/book/create"
[GIN] 2022/10/25 - 21:23:06 | 200 |        1.02ms |             ::1 | POST     "/api/book/create"
