[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/auth/register        --> github.com/Wh0rigin/GraduationProject/controller.RegisterController (4 handlers)
[GIN-debug] POST   /api/auth/login           --> github.com/Wh0rigin/GraduationProject/controller.LoginController (4 handlers)
[GIN-debug] GET    /api/auth/detail          --> github.com/Wh0rigin/GraduationProject/controller.DetailController (5 handlers)
[GIN-debug] POST   /api/book/create          --> github.com/Wh0rigin/GraduationProject/controller.CreateBookController (5 handlers)
[GIN-debug] DELETE /api/book/delete          --> github.com/Wh0rigin/GraduationProject/controller.DeleteBookController (5 handlers)
[GIN-debug] GET    /api/book/all             --> github.com/Wh0rigin/GraduationProject/controller.AllBookController (5 handlers)
[GIN-debug] POST   /api/book/add             --> github.com/Wh0rigin/GraduationProject/controller.AddBookController (5 handlers)
[GIN-debug] POST   /api/book/reduce          --> github.com/Wh0rigin/GraduationProject/controller.ReduceBookController (5 handlers)
[GIN-debug] POST   /api/book/rent            --> github.com/Wh0rigin/GraduationProject/controller.RentBookController (5 handlers)
[GIN-debug] POST   /api/book/return          --> github.com/Wh0rigin/GraduationProject/controller.ReturnBookController (5 handlers)
[GIN-debug] GET    /api/book/select/isbn/:isbn --> github.com/Wh0rigin/GraduationProject/controller.SelectBookController (5 handlers)
[GIN-debug] GET    /api/sensor/all/:type     --> github.com/Wh0rigin/GraduationProject/controller.AllSensorDataController (5 handlers)
[GIN-debug] GET    /api/sensor/recent/:type/:limit --> github.com/Wh0rigin/GraduationProject/controller.RecentSensorDataController (5 handlers)
[GIN-debug] POST   /api/actuator/control     --> github.com/Wh0rigin/GraduationProject/controller.ControlController (5 handlers)
[GIN-debug] POST   /api/manager/login        --> github.com/Wh0rigin/GraduationProject/controller.ManagerLoginController (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/10/24 - 16:17:47 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/user/info?token=admin-token"
[GIN] 2022/10/24 - 16:27:07 | 404 |            0s |             ::1 | GET      "/api/user/detail"
[GIN] 2022/10/24 - 16:27:46 | 404 |            0s |             ::1 | GET      "/api/user/detail"
[GIN] 2022/10/24 - 16:29:12 | 404 |            0s |             ::1 | GET      "/api/user/detail"
[GIN] 2022/10/24 - 16:34:45 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:34:45 | 200 |       109.9µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:34:45 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:36:16 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:36:16 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:36:16 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:37:08 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:37:08 | 200 |       230.7µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:37:08 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:39:15 | 404 |            0s |             ::1 | POST     "/api/manager"
[GIN] 2022/10/24 - 16:39:27 | 200 |      2.2158ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:43:36 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:43:36 | 200 |       449.9µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:43:36 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:43:46 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:43:46 | 200 |       103.4µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:43:46 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:44:52 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:44:52 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:44:52 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:44:59 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:44:59 | 200 |       696.2µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:44:59 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:47:20 | 204 |      1.0021ms |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:47:20 | 200 |         712µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:47:20 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:47:41 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:47:41 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:47:41 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:48:22 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:48:22 | 200 |       412.4µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:48:22 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:48:37 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 16:48:37 | 200 |       670.5µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 16:48:37 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 16:53:43 | 200 |    126.1165ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:05:23 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:05:23 | 200 |      1.0833ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:05:23 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:06:25 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:06:25 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:06:25 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:07:53 | 204 |       192.6µs |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:07:53 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:07:53 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:09:31 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:09:31 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:09:31 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:10:56 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:10:56 | 200 |       271.1µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:10:56 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:15:46 | 204 |       1.003ms |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:15:46 | 200 |       886.7µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:15:46 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:17:18 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:17:18 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:17:18 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:18:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:18:29 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:18:29 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:20:49 | 204 |       215.8µs |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:20:49 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 17:20:49 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 17:22:46 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 17:22:46 | 200 |       130.2µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 18:34:02 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 18:34:02 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 18:36:15 | 204 |      1.0398ms |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 18:36:15 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:12:29 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:12:29 | 200 |      1.0375ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:13:02 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:13:02 | 200 |       555.9µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:13:23 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:13:23 | 200 |            0s |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:13:36 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:13:36 | 200 |       993.5µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:14:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:14:00 | 200 |       701.1µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:14:20 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/login"
[GIN] 2022/10/24 - 23:14:20 | 200 |       307.7µs |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:16:15 | 200 |     57.0567ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:19:32 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/24 - 23:19:32 | 200 |     52.8389ms | 192.168.147.127 | POST     "/api/auth/login"
[GIN] 2022/10/24 - 23:21:10 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/24 - 23:21:10 | 200 |      1.6537ms | 192.168.147.127 | POST     "/api/auth/login"
[GIN] 2022/10/24 - 23:26:31 | 200 |     52.0227ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:27:36 | 200 |     51.5657ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:29:37 | 200 |     53.1827ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:29:37 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:30:29 | 200 |     51.5673ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:30:29 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:31:02 | 200 |     50.1218ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:31:02 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:31:16 | 200 |     53.2461ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:31:16 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:31:41 | 200 |     57.9368ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:31:41 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:31:54 | 200 |      52.028ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:31:54 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:32:17 | 200 |     50.0484ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:32:17 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:32:41 | 200 |     51.2624ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:32:41 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOjEsImV4cCI6MTY2NzIzMDM2MSwiaWF0IjoxNjY2NjI1NTYxLCJpc3MiOiJXaDByaWdpbiIsInN1YiI6IkFjY2Vzc1Rva2VuIn0.gNXiQ64IzX0Mzemmp8nI6eJN-SPkCj0nUiL1iO7lf0g"
[GIN] 2022/10/24 - 23:32:41 | 401 |            0s |             ::1 | GET      "/api/auth/detail?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySWQiOjEsImV4cCI6MTY2NzIzMDM2MSwiaWF0IjoxNjY2NjI1NTYxLCJpc3MiOiJXaDByaWdpbiIsInN1YiI6IkFjY2Vzc1Rva2VuIn0.gNXiQ64IzX0Mzemmp8nI6eJN-SPkCj0nUiL1iO7lf0g"
[GIN] 2022/10/24 - 23:33:16 | 200 |     51.6551ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:33:16 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:33:16 | 401 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:35:03 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/auth/login"
[GIN] 2022/10/24 - 23:35:03 | 200 |     51.0707ms | 192.168.147.127 | POST     "/api/auth/login"
[GIN] 2022/10/24 - 23:35:12 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/book/all"
[GIN] 2022/10/24 - 23:35:12 | 200 |     19.1792ms | 192.168.147.127 | GET      "/api/book/all"
[GIN] 2022/10/24 - 23:35:31 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/book/add"
[GIN] 2022/10/24 - 23:35:31 | 200 |     22.9135ms | 192.168.147.127 | POST     "/api/book/add"
[GIN] 2022/10/24 - 23:35:31 | 204 |            0s | 192.168.147.127 | OPTIONS  "/api/book/all"
[GIN] 2022/10/24 - 23:35:31 | 200 |        2.62ms | 192.168.147.127 | GET      "/api/book/all"
[GIN] 2022/10/24 - 23:36:05 | 200 |     52.1473ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:36:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:36:05 | 200 |      1.6764ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:36:11 | 200 |     52.6571ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:36:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:36:11 | 200 |      1.6059ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:38:00 | 200 |     54.8919ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:38:00 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:38:00 | 200 |      1.6824ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:38:45 | 200 |     51.8668ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:38:45 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:38:45 | 200 |      1.8518ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:40:15 | 200 |     51.1176ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:40:15 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:40:15 | 200 |            0s |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:40:47 | 200 |     51.6294ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:40:47 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:40:47 | 200 |      1.5192ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:43:20 | 200 |     51.4763ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:43:20 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:43:20 | 200 |      1.0272ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:45:15 | 200 |     51.3574ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:45:15 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:45:15 | 200 |      1.6723ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:47:35 | 200 |     51.4155ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:47:35 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:47:35 | 200 |      1.1663ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:49:58 | 200 |     91.7873ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:49:58 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:49:58 | 200 |      1.0828ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:58:13 | 200 |     90.9943ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:58:13 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:58:13 | 200 |       1.623ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/24 - 23:58:59 | 200 |     90.0711ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/24 - 23:58:59 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/24 - 23:58:59 | 200 |      1.8529ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:02:30 | 200 |    158.8679ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:02:30 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:02:30 | 200 |      2.1264ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:03:30 | 200 |     96.8348ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:03:30 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:03:30 | 200 |      1.8577ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:07:07 | 200 |     91.1935ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:07:07 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:07:07 | 200 |      1.3891ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:07:12 | 200 |      86.729ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:07:12 | 200 |       755.4µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:09:15 | 200 |     92.0773ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:09:15 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:09:15 | 200 |      1.5299ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:16:03 | 200 |     98.2097ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:16:03 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:16:03 | 200 |       999.9µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:19:00 | 200 |     86.3107ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:19:00 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:19:00 | 200 |      1.3099ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:20:59 | 200 |    143.2769ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:20:59 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:20:59 | 200 |      2.4662ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:21:05 | 200 |     89.5462ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:21:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:21:05 | 200 |      2.0875ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:21:53 | 200 |     93.9057ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:21:53 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:21:53 | 200 |      1.9162ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:22:11 | 200 |    112.0164ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:22:11 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 00:22:11 | 200 |      1.9871ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 00:22:18 | 200 |     90.8709ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 00:22:18 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
